#OTU ID,W12t1c,W12t2c,W12t3c,W12t4c,W12t5c,W12t6c,WC10Mc,WC31Hc,WC32Hc,WC33Hc,WC8Mc,WC9Mc
g__Gp2,0.003211991,0.000428266,0.001570307,0.001379967,0.000951701,0.001522722,0.001546514,0.002046158,0.001808232,0.002403045,0.003259576,0.001546514
g__Ilumatobacter,0.000904116,0.002617178,0.001237212,0.002331668,0.000356888,0.001332382,0.000475851,0.000737568,0.000118963,0.000808946,0.000737568,0.000356888
g__Brevibacterium,0.0124197,0.004782298,0.006043302,0.007732572,0.003140614,0.006471568,0.006852248,0.009992862,0.008827028,0.00837497,0.008446348,0.007090174
g__Mycobacterium,0.001808232,0.000118963,2.38E-05,7.14E-05,2.38E-05,0.00028551,0.000261718,0.000594813,0.000808946,0.000428266,0.000666191,0.00168927
g__Bacteroides,0.00780395,0.003616464,0.005139186,0.005543659,0.003521294,0.006590531,0.009088746,0.007661194,0.009540804,0.010682846,0.008517725,0.007875327
g__Terrimonas,0.000142755,7.14E-05,0.000118963,0.000237925,0.000237925,0.000142755,9.52E-05,7.14E-05,4.76E-05,4.76E-05,4.76E-05,4.76E-05
g__Staphylococcus,0.002236498,0.001903402,0.001808232,0.00187961,0.001142041,0.00187961,0.001903402,0.002974066,0.002545801,0.002379253,0.003093029,0.002974066
g__Streptococcus,0.002783726,0.003687842,0.017201999,0.003687842,0.001546514,0.003402332,0.004163693,0.004211278,0.004544373,0.004377825,0.004925054,0.006971211
g__Stomatobaculum,2.38E-05,0,0,2.38E-05,9.52E-05,7.14E-05,0,0,0,0,0,0
g__Terrisporobacter,0.000642398,9.52E-05,0.001498929,0,0.00038068,4.76E-05,0.000832739,0.000761361,0.000499643,0.00038068,0.000404473,0.001808232
g__Harryflintia,7.14E-05,2.38E-05,0.000309303,0.000618606,0.000642398,0.000594813,0.000475851,4.76E-05,2.38E-05,0.000404473,0.000166548,0
g__Lawsonibacter,0.000475851,0.001165834,0.001118249,0.000904116,0.006995004,0.00216512,0.000951701,0.000547228,0.000594813,0.000618606,0.00038068,0.000309303
g__Faecalibaculum,0.003021651,0.003378539,0.001594099,0.002783726,0.001094456,0.00187961,0.002997859,0.003449917,0.002807518,0.004211278,0.006138473,0.003069236
g__Hydrogenophaga,0.003330954,0.001403759,0.001403759,0.003616464,0.001284797,0.003116821,0.003164406,0.003925767,0.001498929,0.00385439,0.004544373,0.003545087
g__Mailhella,0.005305734,0.006352605,0.006780871,0.003164406,0.003592672,0.005258149,0.0082798,0.00808946,0.008898406,0.007946705,0.007780157,0.007447062
g__Klebsiella,0.009326671,0.002117535,0.003402332,0.004116108,0.002569593,0.003783012,0.005067809,0.00385439,0.004591958,0.004211278,0.00592434,0.004591958
g__Morganella,2.38E-05,2.38E-05,0.000166548,0.000118963,0,7.14E-05,0.000261718,0.000523436,0.000166548,0.000261718,0.000356888,0.000666191
g__Sodalis,0,0,0,0.000975494,0.000118963,4.76E-05,0,0,0,0,0,0
g__Stenotrophomonas,0.000594813,0,0.000927909,7.14E-05,0.000118963,0.000333095,0.000642398,0.000666191,0.001118249,0.000904116,0.000856531,0.001284797
g__Akkermansia,0.006162265,0.003616464,0.005662622,0.010206995,0.002617178,0.006876041,0.009255294,0.009326671,0.009160124,0.007875327,0.009255294,0.006257435
