	W12t1c	W12t2c	W12t3c	W12t4c	W12t5c	W12t6c	W48t21c	W48t22c	W48t23c	W48t24c	W48t25c	W48t26c	WC10Mb	WC10Mc	WC10Ml	WC31Hb	WC31Hc	WC31Hl	WC32Hb	WC32Hc	WC32Hl	WC33Hb	WC33Hc	WC33Hl	WC8Mb	WC8Mc	WC8Ml	WC9Mb	WC9Mc	WC9Ml
Zotu1	5	23	7	1	36	23	10	14	12	11	9	9	265	21	1	197	4	3	58	5	0	132	8	1	142	4	2	366	3	3
Zotu10	10	1	16	71	69	5	0	5	1	0	3	4	124	9	1	2	1	0	2	3	1	3	2	0	57	3	2	53	1	0
Zotu100	4	3	3	24	2	3	0	5	7	5	7	4	2	10	3	5	2	8	10	6	1	16	5	6	2	1	8	1	1	7
Zotu1000	1	2	1	3	2	0	2	0	0	2	2	10	1	2	0	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0
Zotu10000	1	17	0	5	8	3	0	4	3	5	4	1	1	4	0	0	4	0	0	15	0	0	4	0	0	21	0	1	14	0
Zotu10001	0	7	7	8	2	3	20	6	8	10	24	7	3	7	28	8	2	37	2	6	2	5	7	1	1	1	1	3	4	7
Zotu10002	0	2	1	0	4	1	0	0	0	1	1	0	8	1	7	0	2	0	1	2	0	0	0	0	6	0	1	11	0	0
Zotu10003	3	0	0	0	0	5	0	0	0	21	6	0	0	1	20	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0
Zotu10004	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	2	0	0	2	0	0	1	0	0
Zotu10005	1	2	1	0	0	1	0	1	1	1	0	0	0	0	1	0	2	1	0	0	4	0	1	0	0	0	0	0	0	0
Zotu10006	0	0	2	1	0	1	5	0	6	1	0	4	0	3	5	0	3	0	0	3	15	0	4	4	0	1	3	0	1	0
Zotu10007	3	1	0	2	0	0	5	0	0	1	4	1	0	2	0	0	3	2	0	4	0	0	1	0	0	0	0	0	1	0
Zotu10008	2	0	1	4	0	2	5	2	1	1	5	3	0	1	3	0	1	0	0	0	0	0	0	6	0	1	1	0	1	0
Zotu10009	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Zotu1001	0	0	5	11	1	0	0	0	0	3	0	0	4	2	0	0	1	0	2	0	0	2	0	0	0	0	0	4	3	1
Zotu10010	0	0	0	0	0	0	3	45	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10011	0	0	3	2	0	0	0	0	0	3	0	1	0	4	0	0	1	0	0	0	0	0	0	6	0	1	0	0	0	0
Zotu10012	0	0	7	0	3	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40	0	6	0
Zotu10013	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu10014	0	0	0	0	0	0	0	2	0	0	5	0	0	1	0	0	1	0	0	0	1	1	0	0	0	10	0	0	0	0
Zotu10015	0	0	12	0	0	0	0	9	1	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0
Zotu10016	1	0	6	0	0	2	10	0	7	3	0	1	0	2	3	0	4	0	0	1	2	1	0	0	0	1	0	0	0	0
Zotu10017	1	2	0	4	0	4	8	7	6	10	1	9	0	5	0	0	9	1	0	14	2	2	6	0	0	8	0	0	6	0
Zotu10018	1	0	1	0	1	0	0	3	0	4	0	0	0	0	5	4	0	0	1	0	1	9	1	0	0	0	1	1	1	0
Zotu10019	1	1	5	0	1	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0
Zotu1002	7	2	6	1	5	11	15	27	10	10	6	13	0	13	3	0	15	5	0	9	1	1	5	9	2	15	14	0	6	1
Zotu10020	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	43	0	0	26	0	1	43	16	0	0	0	0	2	20	0
Zotu10021	2	1	1	8	0	6	2	3	3	1	22	4	1	5	0	0	11	0	2	8	0	1	7	17	0	9	1	0	6	1
Zotu10022	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	6	0	0	0	0	0	0	0	0
Zotu10023	0	7	0	0	2	0	1	3	3	4	1	1	0	0	0	0	1	1	0	0	2	0	0	2	1	0	0	0	0	11
Zotu10024	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	1	0	1	0
Zotu10025	1	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1
Zotu10026	0	8	0	6	4	0	0	2	0	0	6	0	0	5	0	1	0	0	0	11	0	0	1	0	0	8	0	1	0	0
Zotu10027	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
Zotu10028	0	0	0	2	0	1	0	0	0	2	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	8
Zotu10029	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1003	0	0	0	0	23	0	1	0	1	0	0	0	24	2	0	99	0	0	90	0	0	2	3	0	4	0	1	1	0	0
