#OTU ID,W12t1b,W12t1c,W12t1l,W12t2b,W12t2c,W12t2l,W12t3b,W12t3c,W12t3l,W12t4b,W12t4c,W12t4l,W12t5b,W12t5c,W12t5l,W12t6b,W12t6c,W12t6l,W48t21b,W48t21c,W48t21l,W48t22b,W48t22c,W48t22l,W48t23b,W48t23c,W48t23l,W48t24b,W48t24c,W48t24l,W48t25b,W48t25c,W48t25l,W48t26b,W48t26c,W48t26l,WC10Mb,WC10Mc,WC10Ml,WC31Hb,WC31Hc,WC31Hl,WC32Hb,WC32Hc,WC32Hl,WC33Hb,WC33Hc,WC33Hl,WC8Mb,WC8Mc,WC8Ml,WC9Mb,WC9Mc,WC9Ml
Zotu1,173,5,1,297,23,3,136,7,7,5,1,8,71,36,3,599,23,12,567,10,0,535,14,0,51,12,0,266,11,0,82,9,0,461,9,2,265,21,1,197,4,3,58,5,0,132,8,1,142,4,2,366,3,3
Zotu10,32,10,2,8,1,1,51,16,1,202,71,8,548,69,2,1,5,2,45,0,1,160,5,0,26,1,5,1,0,0,6,3,0,9,4,0,124,9,1,2,1,0,2,3,1,3,2,0,57,3,2,53,1,0
Zotu100,1,4,10,3,3,11,0,3,4,1,24,4,1,2,0,0,3,6,1,0,2,2,5,3,370,7,3,5,5,0,9,7,8,0,4,4,2,10,3,5,2,8,10,6,1,16,5,6,2,1,8,1,1,7
Zotu1000,0,1,2,2,2,0,2,1,2,7,3,0,1,2,2,1,0,2,15,2,0,0,0,2,2,0,0,91,2,0,3,2,0,4,10,1,1,2,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0
Zotu10000,0,1,1,0,17,0,0,0,1,0,5,0,0,8,0,0,3,0,0,0,0,0,4,0,0,3,0,1,5,0,0,4,11,0,1,0,1,4,0,0,4,0,0,15,0,0,4,0,0,21,0,1,14,0
Zotu10001,2,0,0,1,7,1,2,7,0,1,8,23,3,2,22,0,3,12,2,20,6,0,6,0,4,8,1,0,10,6,1,24,0,0,7,0,3,7,28,8,2,37,2,6,2,5,7,1,1,1,1,3,4,7
Zotu10002,0,0,0,2,2,0,17,1,2,0,0,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,8,1,7,0,2,0,1,2,0,0,0,0,6,0,1,11,0,0
Zotu10003,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,0,31,0,0,0,0,21,0,0,6,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0
Zotu10004,1,0,1,0,0,0,1,0,0,6,2,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0
Zotu10005,0,1,1,0,2,0,0,1,6,0,0,2,0,0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0
Zotu10006,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,1,0,0,5,1,0,0,11,0,6,1,0,1,3,0,0,0,0,4,0,0,3,5,0,3,0,0,3,15,0,4,4,0,1,3,0,1,0
Zotu10007,0,3,0,0,1,0,0,0,0,0,2,3,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,2,0,0,3,2,0,4,0,0,1,0,0,0,0,0,1,0
Zotu10008,0,2,3,0,0,3,0,1,0,0,4,0,0,0,3,0,2,0,0,5,0,2,2,0,1,1,0,0,1,0,5,5,0,1,3,1,0,1,3,0,1,0,0,0,0,0,0,6,0,1,1,0,1,0
Zotu10009,3,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Zotu1001,0,0,0,0,0,0,0,5,0,39,11,0,9,1,0,0,0,0,1,0,0,1,0,0,48,0,0,14,3,0,0,0,0,6,0,0,4,2,0,0,1,0,2,0,0,2,0,0,0,0,0,4,3,1
Zotu10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10011,0,0,0,1,0,0,0,3,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,4,0,4,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0
Zotu10012,0,0,0,0,0,33,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,6,0
Zotu10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu10014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,10,0,0,0,0
Zotu10015,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
Zotu10016,0,1,0,0,0,16,0,6,4,0,0,0,0,0,0,0,2,0,0,10,2,0,0,0,0,7,0,0,3,0,0,0,0,0,1,0,0,2,3,0,4,0,0,1,2,1,0,0,0,1,0,0,0,0
Zotu10017,0,1,0,0,2,1,0,0,0,0,4,1,0,0,0,0,4,0,0,8,0,0,7,0,0,6,0,0,10,0,0,1,0,0,9,0,0,5,0,0,9,1,0,14,2,2,6,0,0,8,0,0,6,0
Zotu10018,0,1,1,2,0,0,1,1,0,2,0,1,1,1,0,0,0,4,0,0,0,2,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5,4,0,0,1,0,1,9,1,0,0,0,1,1,1,0
Zotu10019,0,1,0,0,1,1,0,5,2,0,0,0,0,1,0,0,1,2,0,0,1,0,0,2,0,0,2,0,0,0,0,1,4,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0
Zotu1002,0,7,12,1,2,6,2,6,5,0,1,12,1,5,18,0,11,1,1,15,0,0,27,5,0,10,0,1,10,0,1,6,1,1,13,1,0,13,3,0,15,5,0,9,1,1,5,9,2,15,14,0,6,1
Zotu10020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,18,0,0,0,0,0,14,0,0,0,0,0,5,0,0,4,2,0,1,0,2,43,0,0,26,0,1,43,16,0,0,0,0,2,20,0
Zotu10021,0,2,0,0,1,8,0,1,36,2,8,1,0,0,1,0,6,29,0,2,0,0,3,1,0,3,46,0,1,0,0,22,0,0,4,16,1,5,0,0,11,0,2,8,0,1,7,17,0,9,1,0,6,1
Zotu10022,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0
Zotu10023,0,0,15,0,7,2,0,0,6,0,0,4,0,2,0,0,0,9,0,1,1,0,3,0,0,3,0,0,4,1,0,1,0,0,1,3,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,0,0,11
Zotu10024,0,0,3,0,0,1,0,0,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,1,0
Zotu10025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,2,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
Zotu10026,0,0,0,0,8,0,0,0,36,0,6,1,0,4,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,6,0,0,0,0,0,5,0,1,0,0,0,11,0,0,1,0,0,8,0,1,0,0
Zotu10027,0,2,2,0,0,4,0,1,3,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
Zotu10028,0,0,0,0,0,0,0,0,1,0,2,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,8
Zotu10029,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,4,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Zotu1003,20,0,0,6,0,0,38,0,0,0,0,0,27,23,1,0,0,2,3,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,24,2,0,99,0,0,90,0,0,2,3,0,4,0,1,1,0,0
Zotu10030,0,0,0,0,10,0,0,2,0,0,0,1,0,0,4,0,2,0,0,2,0,0,0,0,0,2,0,0,3,2,0,1,0,0,7,0,0,0,4,0,2,0,0,3,4,0,2,0,0,0,8,0,1,0
Zotu10031,0,8,0,0,0,0,0,0,0,0,0,24,0,0,1,0,6,9,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,1,0,1,1,0,3,0,0,0,0,1,7,0,0,0,21,0,6,0
Zotu10032,0,0,23,0,13,4,0,3,0,0,15,0,0,8,0,0,15,0,0,2,0,0,4,0,0,0,0,0,4,0,0,27,0,1,11,0,0,29,6,0,12,0,0,0,0,0,11,0,0,7,0,0,12,21
Zotu10033,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,4,0,0,1,0,0,0,0,0,14,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0
Zotu10034,0,5,17,1,0,2,0,3,25,0,2,3,0,0,10,0,6,6,0,4,2,0,3,0,0,3,7,0,4,2,0,5,0,0,2,5,0,3,7,0,3,7,0,9,0,1,8,13,0,5,0,0,12,0
Zotu10035,10,0,0,3,0,1,12,1,0,6,1,0,8,1,1,6,2,0,1,0,0,6,0,2,3,0,0,1,2,0,3,0,0,2,0,0,2,1,0,3,0,1,2,0,0,0,0,0,3,0,1,2,0,0
Zotu10036,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,89,0,18,0,0,1,0,0,9,36,0,0,1,0,1,125,0,3,135,0,0,0,0,0,74,0,9,0,0,0,0,0,0,0,0,0,68
Zotu10037,0,0,5,0,0,1,0,1,3,0,0,0,0,0,3,0,4,1,0,1,1,0,0,1,0,1,1,0,0,2,0,1,2,0,0,6,0,0,0,0,0,0,0,0,6,0,0,3,0,0,1,0,3,1
Zotu10038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,4
Zotu10039,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,4,3,0,3,0,0,3,0,0,1,0,0,0,5,1,1,0,0,0,0,0,3,9,0,0,0
Zotu1004,0,32,0,1,14,0,0,17,0,0,13,1,0,1,1,0,24,1,0,26,1,0,10,1,0,37,0,1,19,0,0,9,0,0,14,0,0,26,0,1,17,0,0,6,1,0,20,0,1,16,1,0,18,0
Zotu10040,0,2,0,0,1,4,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,11,0,1,0,0,1,0,0,0,9,0,1,9,0,1,5,0,5,0,0,2,1
Zotu10041,0,2,0,0,1,0,0,0,3,0,0,2,0,1,2,0,0,1,0,0,1,0,1,0,0,2,4,0,1,1,0,0,0,1,4,0,0,1,1,0,0,1,0,0,0,0,2,1,1,0,4,0,1,2
Zotu10042,0,10,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,6,0,0,0
